building_id,location_rating_MIKRAT_W,location_rating_IMAGE_W,location_rating_FZ_W,location_rating_DL_W,location_rating_NASE_W_DOM,location_rating_FGFRQZ
6740,3.5,3.0,4.0,3.9,4.0,5.0
2174,4.5,4.1,4.0,4.9,9.0,3.0
2,4.0,4.0,2.0,4.0,9.0,2.0
17162,2.9,1.2,4.0,4.0,1.0,1.0
7221,3.4,3.0,4.0,2.0,9.0,1.0
5133,4.2,4.0,3.0,5.0,9.0,3.0
1950,3.3,1.2,4.0,2.9,3.0,1.0
568,3.8,3.0,4.9,4.0,3.0,2.0
1108,3.4,3.0,3.0,1.1,5.0,1.0
5690,4.2,4.0,3.0,5.0,8.0,2.0
2898,4.2,4.0,4.0,4.0,9.0,1.0
2139,3.6,3.0,3.1,4.0,9.0,1.0
5656,3.7,3.0,3.0,4.1,9.0,1.0
1838,2.5,1.1,3.0,4.0,1.0,1.0
3198,2.8,1.1,4.0,2.0,1.0,1.0
768,3.3,1.2,4.1,4.0,9.0,1.0
1451,2.8,3.0,3.1,4.0,4.0,1.0
3156,3.2,2.9,3.9,2.0,6.0,1.0
2217,3.3,2.9,4.0,4.9,3.0,1.0
1187,4.5,4.0,4.0,5.0,9.0,3.0
1789,3.6,4.0,3.0,2.0,6.0,1.0
739,3.4,4.0,3.1,2.0,9.0,1.0
2257,4.7,3.9,4.1,5.0,9.0,1.0
14683,3.4,1.0,4.0,4.1,2.0,1.0
1739,3.1,3.0,3.0,4.0,3.0,1.0
5615,2.6,1.1,4.0,4.0,1.0,1.0
1631,4.3,4.0,3.0,5.0,7.0,5.0
1719,3.5,3.0,4.0,2.9,1.0,1.0
1375,3.1,3.0,4.0,2.0,9.0,1.0
2055,4.2,4.1,3.0,5.0,9.0,2.0
2039,3.6,1.2,4.9,5.0,3.0,1.0
6252,3.0,1.0,4.0,5.0,3.0,1.0
7276,3.5,3.0,1.9,3.0,3.0,1.0
398,4.1,4.1,4.0,4.0,9.0,1.0
2832,4.6,4.0,5.0,5.0,9.0,4.0
1002,3.6,4.1,3.0,3.0,9.0,1.0
463,3.4,3.0,4.0,4.0,1.0,1.0
1524,3.0,1.2,4.1,4.0,2.0,1.0
101,3.8,3.1,4.0,3.0,9.0,1.0
5388,3.5,4.1,3.0,5.0,9.0,2.0
6276,2.6,1.2,4.0,1.0,9.0,1.0
4972,4.0,4.1,3.0,5.0,8.0,4.0
973,2.7,3.0,3.0,1.0,6.0,1.0
916,3.4,2.9,4.0,2.9,5.0,1.0
5707,2.7,1.1,3.0,2.0,1.0,1.0
2336,2.9,1.2,4.0,4.9,4.0,1.0
460,4.4,4.0,4.0,5.0,9.0,2.0
16806,4.0,4.1,3.0,5.0,9.0,2.0
767,2.7,1.2,4.0,3.9,1.0,1.0
1170,3.8,4.0,4.0,1.9,9.0,1.0
17721,2.8,1.1,4.0,1.0,1.0,1.0
1733,4.3,3.0,4.0,5.0,9.0,1.0
